user_id,total_folder_selections,different_folders_used,days_active_selecting,most_used_folder
RQ492924,15,10,1,Archief ouder dan 01-01-2015
RO533436,15,10,1,Bonus/ gratificaties
RY866576,15,3,1,Medewerker dossier
RY502250,15,8,1,02. Indienst
RT187316,15,5,2,Medewerker dossier
RW523784,15,7,1,Bevoegdheid
RY782003,15,6,2,Arbeidsovereenkomsten
RT1003783,15,3,2,Contract & arbeidsvoorwaarden
RO729800,15,12,1,Verlof
IC132439,15,11,1,"1. Arbeidsovereenkomst, doorstroom en ontslag"
IC217201,15,11,1,Persoonlijk
RY268368,15,1,1,Medewerker dossier
IC280147,15,6,1,Loopbaan
RX915459,15,7,1,Loopbaan en Personeelsontwikkeling
IC210769,15,5,2,Prullenbak
RY997259,15,12,1,Persoonlijk
RY862593,15,2,1,05.4 Diploma en Certificaten
RY862695,15,5,2,02.1 Arbeidsovereenkomst
RY753606,15,8,1,Arbeidsvoorwaarden
UA008171,15,9,1,Diversen
RY687189,14,4,1,Persoonlijk
RO138161,14,4,1,Algemeen
RV450332,14,8,1,Arbeidsvoorwaarden
RY906004,14,8,1,Salaris
RY539302,14,14,1,Loopbaan / opleidingen
UA004497,14,8,1,Persoonlijk
IC139321,14,4,2,Overeenkomst
RY853647,14,9,1,Arbeidsvoorwaarden
IC260601,14,5,1,Arbeidsovereenkomst
IC204385,14,3,2,Verlof
RO224599,14,1,1,Carriereverloop
RQ390105,14,9,1,Arbeidsvoorwaarden
RX506641,14,8,1,Verlof
RX780891,14,4,2,Prullenbak
RO443969,14,5,1,Arbeidsvoorwaarden
RQ460595,14,8,1,Archief ouder dan 01-01-2015
RT328458,14,9,1,"Diploma's, certificaten en getuigschriften"
RY274824,14,13,1,Salaris
RY964362,14,6,1,Functioneren en loopbaan
RS711038,14,4,1,Aanstelling en arbeidsvoorwaarden
UA006575,14,2,1,Medewerker dossier
RS873603,14,9,1,Dienstverband
IC295239,14,10,1,Persoonsgegevens
RX325332,14,5,1,Salarisdocumenten
RZ139387,14,10,1,Secundaire arbeidsvoorwaarden
RY297674,14,11,1,Salaris
RQ267001,14,7,1,03. Dienstverband
