user_id,total_filters,different_fields_used,days_active_filtering,most_used_field
RX345630,8,2,2,medewerkerNaam
RY530416,8,3,2,datumUitDienst
RX281038,8,2,1,datumUitDienst
RZ246380,8,2,2,datumUitDienst
RY658280,8,2,2,medewerkerNaam
RY750737,8,2,2,medewerkerNaam
RS820155,8,3,2,datumUitDienst
RO127112,8,3,2,datumUitDienst
IC152137,8,2,2,datumUitDienst
RX868382,8,3,2,datumUitDienst
RQ345584,8,2,1,medewerkerNaam
RT220212,8,2,2,datumUitDienst
RQ517291,8,2,2,medewerkerNaam
RZ319644,8,2,1,medewerkerNaam
RQ121168,8,2,2,datumUitDienst
RV942790,8,2,1,datumUitDienst
IC204728,8,3,2,datumUitDienst
RX608133,8,2,1,medewerkerNaam
RY603228,8,2,1,datumUitDienst
IC217855,8,2,2,datumUitDienst
RV526084,8,2,2,medewerkerNaam
RX865381,8,3,1,datumUitDienst
IC204639,8,2,2,medewerkerNaam
IC110310,8,2,1,medewerkerNaam
RY268368,8,2,1,medewerkerNaam
RY906059,8,2,2,datumUitDienst
IC215398,8,2,2,medewerkerNaam
UA006564,8,4,1,datumUitDienst
IC282746,8,2,2,medewerkerCode
RU132360,8,2,1,datumUitDienst
RP119962,8,2,1,datumUitDienst
IC182642,8,2,2,datumUitDienst
IC257466,8,3,2,datumUitDienst
RW663039,8,2,2,datumUitDienst
RT382772,8,2,2,datumUitDienst
RQ249276,8,2,2,datumUitDienst
RV657801,8,2,2,datumUitDienst
RT188311,8,4,2,datumUitDienst
RZ288047,8,2,2,medewerkerNaam
RP791692,8,2,1,medewerkerNaam
RY649582,8,3,1,datumUitDienst
IC201030,8,3,1,datumUitDienst
RZ176842,8,2,2,datumUitDienst
RY498352,8,3,1,datumUitDienst
RW586767,8,2,2,medewerkerCode
RY236929,8,2,1,medewerkerCode
RY138047,8,2,2,medewerkerNaam
RY962610,8,2,1,datumUitDienst
IC132270,8,2,2,medewerkerNaam
RY984793,8,2,1,datumUitDienst
IC210769,8,2,2,medewerkerNaam
RY867827,8,3,2,datumUitDienst
RY758959,8,2,2,datumUitDienst
RY649865,8,2,1,datumUitDienst
RW1022426,8,2,2,datumUitDienst
RW810682,8,3,1,datumUitDienst
RW527984,8,2,1,medewerkerNaam
RZ278225,8,2,2,datumUitDienst
RX290237,8,2,1,medewerkerNaam
RQ413816,8,2,2,datumUitDienst
RS711038,8,2,1,datumUitDienst
RO947812,8,2,2,datumUitDienst
IC109071,8,2,2,datumUitDienst
IC294809,8,2,1,datumUitDienst
RU741659,8,2,2,medewerkerNaam
RW585438,8,3,2,datumUitDienst
RX610723,8,2,1,datumUitDienst
RY984799,8,2,1,medewerkerNaam
RQ886184,8,2,1,medewerkerNaam
RO504794,8,2,2,medewerkerCode
RX322855,8,2,2,datumUitDienst
RU698333,8,2,2,medewerkerNaam
RX333515,8,2,1,datumUitDienst
RX810406,8,2,2,medewerkerNaam
RP136161,8,2,1,medewerkerNaam
RZ215880,8,2,1,datumUitDienst
IC143112,8,2,1,medewerkerNaam
IC253790,8,2,1,medewerkerCode
RX828120,8,2,2,datumUitDienst
RY893636,8,2,1,datumUitDienst
UA006250,8,2,2,datumUitDienst
RZ225252,8,2,2,datumUitDienst
RS989604,8,3,2,datumUitDienst
IC144021,8,2,1,medewerkerNaam
RT996710,8,3,2,datumUitDienst
UA005074,8,2,2,datumUitDienst
RX325332,8,3,2,datumUitDienst
RY951508,8,2,1,datumUitDienst
IC260601,8,2,2,medewerkerNaam
RU334036,8,2,2,medewerkerNaam
IC239430,8,2,2,medewerkerNaam
RQ902537,8,2,2,datumUitDienst
RQ521641,8,2,2,datumUitDienst
RO706510,8,2,2,medewerkerCode
IC296698,8,3,2,datumUitDienst
RY743484,8,2,2,datumUitDienst
RX106064,8,2,2,medewerkerNaam
IC279593,8,2,1,medewerkerNaam
IC278252,8,2,2,medewerkerNaam
RZ176280,8,2,2,medewerkerNaam
IC129558,8,2,1,datumUitDienst
