user_id,total_sort_actions,different_fields_used,different_combinations_used,days_active_sorting,most_used_field,preferred_direction
IC278076,35,1,1,4,ingangsDatum,DESC
IC267835,35,1,1,5,documentDateModified,DESC
RQ490110,34,1,1,2,ingangsDatum,DESC
RY821473,34,1,1,1,ingangsDatum,DESC
RY890866,34,1,1,1,ingangsDatum,DESC
RW585438,34,2,3,6,ingangsDatum,DESC
RY963393,34,1,1,1,ingangsDatum,DESC
RO522721,34,1,1,6,ingangsDatum,DESC
RY545809,34,1,1,4,ingangsDatum,DESC
RY1010489,34,1,1,4,ingangsDatum,DESC
RY272946,34,1,1,1,ingangsDatum,DESC
RX391406,34,1,1,3,documentDateModified,DESC
UA001373,34,2,4,1,ingangsDatum,ASC
RO442929,34,3,5,1,ingangsDatum,DESC
RY1005638,34,1,1,2,ingangsDatum,DESC
RY867831,34,1,2,5,ingangsDatum,DESC
RV592005,34,1,1,5,ingangsDatum,DESC
RU125327,33,1,1,5,documentDateModified,DESC
IC128107,33,1,1,4,ingangsDatum,DESC
UA009933,33,1,1,3,ingangsDatum,DESC
IC282629,33,1,1,5,ingangsDatum,DESC
RZ325444,33,2,3,4,ingangsDatum,DESC
RP851293,33,1,1,2,ingangsDatum,DESC
IC294944,33,1,2,4,ingangsDatum,DESC
RP310817,33,1,1,2,ingangsDatum,DESC
IC217927,33,1,1,4,ingangsDatum,DESC
RY511611,33,1,1,2,ingangsDatum,DESC
RO963476,33,1,1,3,documentOmschrijving,DESC
RY741232,33,1,1,6,documentOmschrijving,ASC
IC250902,33,1,1,4,ingangsDatum,DESC
RY1006893,33,1,1,5,ingangsDatum,DESC
RO127112,33,1,1,6,ingangsDatum,DESC
RW919786,33,1,1,5,ingangsDatum,DESC
RY662835,33,1,1,2,ingangsDatum,DESC
RX789096,32,6,8,3,documentOmschrijving,ASC
RZ289901,32,1,2,2,ingangsDatum,DESC
RY512987,32,1,1,1,ingangsDatum,DESC
IC218077,32,1,1,2,ingangsDatum,DESC
RY950276,32,1,1,6,ingangsDatum,DESC
RO458391,32,1,1,4,ingangsDatum,DESC
RY691603,32,1,1,3,documentOmschrijving,ASC
RQ591021,32,1,1,3,ingangsDatum,DESC
RW816378,32,1,2,3,ingangsDatum,DESC
RY991071,32,1,1,3,ingangsDatum,DESC
IC144021,32,1,1,3,ingangsDatum,DESC
RX229203,32,1,1,3,ingangsDatum,DESC
IC259292,32,1,1,7,ingangsDatum,DESC
RY393132,32,1,1,3,documentDateModified,DESC
RX871226,32,1,1,2,ingangsDatum,DESC
RZ169911,32,3,4,4,documentAnnotated,DESC
RO660609,32,1,1,1,ingangsDatum,DESC
RX602355,31,1,1,4,ingangsDatum,DESC
RY551442,31,1,1,3,ingangsDatum,DESC
RQ493457,31,1,1,1,ingangsDatum,DESC
IC290375,31,3,4,6,geldigheidsdatum,ASC
RY751617,31,1,1,2,ingangsDatum,DESC
IC192494,31,1,1,3,ingangsDatum,DESC
IC279781,31,1,1,3,ingangsDatum,DESC
RY855770,31,2,4,5,ingangsDatum,DESC
IC128423,31,1,1,5,ingangsDatum,DESC
RZ307836,31,1,1,4,ingangsDatum,DESC
RZ308152,31,1,1,2,ingangsDatum,DESC
RO308749,31,1,1,7,ingangsDatum,DESC
RX764378,31,1,1,3,ingangsDatum,DESC
RY956054,31,1,1,2,ingangsDatum,DESC
RW899619,31,1,1,5,ingangsDatum,DESC
RZ290015,31,1,1,6,ingangsDatum,DESC
IC244481,31,1,1,3,documentDateModified,DESC
RY526905,31,1,1,2,documentOmschrijving,ASC
RO987234,31,1,1,3,ingangsDatum,DESC
RZ345669,31,1,1,4,ingangsDatum,DESC
UA001727,31,1,1,3,ingangsDatum,DESC
RY286263,31,3,5,4,ingangsDatum,DESC
RY645119,31,1,1,2,ingangsDatum,DESC
IC248363,31,2,3,3,ingangsDatum,DESC
RY938151,31,2,2,5,ingangsDatum,DESC
RQ468751,31,1,1,2,ingangsDatum,DESC
RY956189,31,1,1,3,ingangsDatum,DESC
RS863655,31,1,1,2,ingangsDatum,DESC
IC273890,30,1,1,5,ingangsDatum,DESC
RO603555,30,1,1,3,ingangsDatum,DESC
RY668050,30,1,1,2,ingangsDatum,DESC
