date,browser,users_count
2025-09-18,Chrome 126.0.0,2
2025-09-18,Chrome 114.0.0,1
2025-09-10,Edge 137.0.0,19
2025-09-11,Edge 140.0.0,1699
2025-09-16,Edge 135.0.0,7
2025-09-17,Chrome 133.0.0,21
2025-09-14,Chrome 133.0.0,2
2025-09-16,Edge 129.0.0,6
2025-09-12,Edge 129.0.0,2
2025-09-15,Chrome 138.0.0,359
2025-09-17,Chrome Mobile iOS 139.0.7258,1
2025-09-16,Firefox 142.0,14
2025-09-16,Edge 137.0.0,26
2025-09-11,Edge 136.0.0,23
2025-09-12,Safari 17.5,1
2025-09-16,Chrome 139.0.0,233
2025-09-17,Chrome Mobile WebView 140.0.7339,2
2025-09-10,Chrome 129.0.0,1
2025-09-11,Firefox 115.0,1
2025-09-18,Edge 132.0.0,3
2025-09-11,Chrome 134.0.0,27
2025-09-17,Edge 129.0.0,3
2025-09-10,Edge Mobile 140.0.3485,2
2025-09-15,Chrome Mobile WebView 139.0.7258,3
2025-09-15,Chrome 129.0.0,1
2025-09-10,Edge 140.0.0,1392
2025-09-18,Edge 134.0.0,16
2025-09-15,Chrome 136.0.0,4
2025-09-11,Chrome 131.0.0,4
2025-09-15,Edge 137.0.0,34
2025-09-17,Edge 131.0.0,5
2025-09-17,Chrome 137.0.0,9
2025-09-15,Chrome 140.0.0,370
2025-09-13,Chrome 129.0.0,1
2025-09-14,Chrome 140.0.0,20
2025-09-15,Firefox 128.0,4
2025-09-10,Edge 138.0.0,152
2025-09-14,Edge 139.0.0,16
2025-09-17,Chrome 136.0.0,2
2025-09-11,Chrome 129.0.0,2
2025-09-15,Chrome 137.0.0,10
2025-09-14,Chrome 129.0.0,1
2025-09-11,Chrome 135.0.0,11
2025-09-12,Edge 122.0.0,1
2025-09-17,Chrome 106.0.0,1
2025-09-12,Chrome Mobile 140.0.0,1
2025-09-10,Chrome 120.0.0,2
2025-09-17,Mobile Safari 26.0,1
2025-09-10,Chrome 134.0.0,21
2025-09-12,Edge 131.0.0,10
2025-09-16,Firefox 141.0,1
2025-09-18,Chrome 137.0.0,9
