user,total_base_activations,employees_activations,documents_activations,import_activations,reports_activations,management_activations,unique_employee_panels_opened,max_concurrent_employee_panels,employee_panel_switches,has_switched_employee_panels
RY963393,64,63,1,0,0,0,8,5,4,True
RY963722,12,12,0,0,0,0,7,2,0,False
RY964156,6,6,0,0,0,0,6,5,0,False
RY965136,155,155,0,0,0,0,69,2,0,False
RY965234,46,46,0,0,0,0,33,5,1,True
RY965326,8,8,0,0,0,0,4,3,0,False
RY965615,4,4,0,0,0,0,2,2,0,False
RY966480,6,6,0,0,0,0,5,5,1,True
RY966503,6,5,1,0,0,0,1,1,0,False
RY967362,2,2,0,0,0,0,2,2,0,False
RY967418,8,8,0,0,0,0,6,5,1,True
RY967472,2,2,0,0,0,0,1,1,0,False
RY967936,14,14,0,0,0,0,10,5,3,True
RY968193,12,12,0,0,0,0,9,4,0,False
RY968271,12,12,0,0,0,0,4,4,0,False
RY969390,14,14,0,0,0,0,8,5,0,False
RY984789,6,6,0,0,0,0,4,4,0,False
RY984792,22,21,1,0,0,0,15,5,0,False
RY984796,12,11,1,0,0,0,5,5,0,False
RY984800,19,18,1,0,0,0,9,5,0,False
RY984801,15,15,0,0,0,0,9,5,0,False
RY985204,6,6,0,0,0,0,3,3,1,True
RY988514,1,1,0,0,0,0,0,0,0,False
RY988551,2,2,0,0,0,0,0,0,0,False
RY989306,8,8,0,0,0,0,3,3,0,False
RY990074,1,1,0,0,0,0,0,0,0,False
RY990145,4,4,0,0,0,0,3,3,1,True
RY990410,17,16,1,0,0,0,8,4,0,False
RY990966,4,4,0,0,0,0,3,3,1,True
RY991138,21,20,0,1,0,0,12,5,0,False
RY991185,16,16,0,0,0,0,12,5,0,False
RY991702,11,11,0,0,0,0,7,5,1,True
RY992231,1,1,0,0,0,0,0,0,0,False
RY992264,22,22,0,0,0,0,11,5,2,True
RY992406,8,8,0,0,0,0,6,5,0,False
RY992570,1,1,0,0,0,0,1,1,0,False
RY992966,4,4,0,0,0,0,2,2,0,False
RY993046,7,7,0,0,0,0,3,3,0,False
RY993102,5,5,0,0,0,0,2,1,0,False
RY994068,5,5,0,0,0,0,4,4,0,False
RY994184,12,12,0,0,0,0,5,5,0,False
RY995467,24,24,0,0,0,0,19,5,0,False
RY995735,35,35,0,0,0,0,19,5,3,True
RY995843,9,9,0,0,0,0,6,5,1,True
RY996441,54,52,2,0,0,0,31,3,0,False
RY997000,16,16,0,0,0,0,16,5,0,False
RY997237,43,43,0,0,0,0,27,5,1,True
RY997259,7,7,0,0,0,0,2,2,0,False
RY997676,16,16,0,0,0,0,14,5,0,False
RY998665,1,1,0,0,0,0,1,1,0,False
RY998829,2,2,0,0,0,0,2,2,0,False
RZ100643,7,7,0,0,0,0,2,2,0,False
RZ101349,9,9,0,0,0,0,7,5,1,True
